ID,Title,Store,Price,Top Level Category,Sub Category
d5fe3ae177070a71754a0ca86d713109,P+c%`d-rty K@v_5#x94ng W(s^vm#c@n's P@v_5#x94nk M+c%`d-r@v_5#x94(s^vn#c@tt#c@ P@v_5#x94nk,My Store,49.99,Clathing & Accassarias,Nevalty & Spaceel Usa
d5fe3ae177070a71754a0ca86d713109,P+c%`d-rty K@v_5#x94ng W(s^vm#c@n's P@v_5#x94nk M+c%`d-r@v_5#x94(s^vn#c@tt#c@ P@v_5#x94nk,Competitor 1,48.83,Clathing & Accassarias,Nevalty & Spaceel Usa
65663898d502497c3338730506bfe41f,M#c@n's S(s^vns Of An+c%`d-rchy H@v_5#x94ghw+c%`d-y J+c%`d-ck#c@t - XXL,Competitor 2,98.99,Clathing & Accassarias,Nevalty & Spaceel Usa
65663898d502497c3338730506bfe41f,M#c@n's S(s^vns Of An+c%`d-rchy H@v_5#x94ghw+c%`d-y J+c%`d-ck#c@t - XXL,Competitor 3,169.99,Clathing & Accassarias,Nevalty & Spaceel Usa
65663898d502497c3338730506bfe41f,M#c@n's S(s^vns Of An+c%`d-rchy H@v_5#x94ghw+c%`d-y J+c%`d-ck#c@t - XXL,My Store,169.99,Clathing & Accassarias,Nevalty & Spaceel Usa
d4d21bc182bde3ee9f6dd804df183e18,S(s^vns (s^vf An+c%`d-rchy M#c@n's H@v_5#x94ghw+c%`d-y Tw@v_5#x94ll J+c%`d-ck#c@t Bl+c%`d-ck,Competitor 1,98.42,Clathing & Accassarias,Nevalty & Spaceel Usa
d4d21bc182bde3ee9f6dd804df183e18,S(s^vns (s^vf An+c%`d-rchy M#c@n's H@v_5#x94ghw+c%`d-y Tw@v_5#x94ll J+c%`d-ck#c@t Bl+c%`d-ck,Competitor 3,127.49,Clathing & Accassarias,Nevalty & Spaceel Usa
d4d21bc182bde3ee9f6dd804df183e18,S(s^vns (s^vf An+c%`d-rchy M#c@n's H@v_5#x94ghw+c%`d-y Tw@v_5#x94ll J+c%`d-ck#c@t Bl+c%`d-ck,My Store,169.99,Clathing & Accassarias,Nevalty & Spaceel Usa
04fdacfaa3d32aefa98d8a044f379d12,S(s^vns (s^vf An+c%`d-rchy M#c@n's H@v_5#x94ghw+c%`d-y Tw@v_5#x94ll J+c%`d-ck#c@t Bl+c%`d-ck,Competitor 3,169.99,Clathing & Accassarias,Nevalty & Spaceel Usa
04fdacfaa3d32aefa98d8a044f379d12,S(s^vns (s^vf An+c%`d-rchy M#c@n's H@v_5#x94ghw+c%`d-y Tw@v_5#x94ll J+c%`d-ck#c@t Bl+c%`d-ck,My Store,169.99,Clathing & Accassarias,Nevalty & Spaceel Usa
04fdacfaa3d32aefa98d8a044f379d12,S(s^vns (s^vf An+c%`d-rchy M#c@n's H@v_5#x94ghw+c%`d-y Tw@v_5#x94ll J+c%`d-ck#c@t Bl+c%`d-ck,Competitor 1,78.58,Clathing & Accassarias,Nevalty & Spaceel Usa
d77cab6a3624e286255c702f1b6d7c59,W(s^vm#c@n&#x27;s S+c%`d-ssy P@v_5#x94nk M+c%`d-r@v_5#x94(s^vn#c@tt#c@ C(s^vst5#x9m#c@,My Store,49.99,Clathing & Accassarias,Nevalty & Spaceel Usa
d77cab6a3624e286255c702f1b6d7c59,W(s^vm#c@n&#x27;s S+c%`d-ssy P@v_5#x94nk M+c%`d-r@v_5#x94(s^vn#c@tt#c@ C(s^vst5#x9m#c@,Competitor 2,44.99,Clathing & Accassarias,Nevalty & Spaceel Usa
187f4e55a355ad577990aab0b4a76803,H(s^vgw+c%`d-rt's Kn@v_5#x94t H+c%`d-t Sc+c%`d-rf G(s^vld,Competitor 3,26.99,Clathing & Accassarias,Nevalty & Spaceel Usa
187f4e55a355ad577990aab0b4a76803,H(s^vgw+c%`d-rt's Kn@v_5#x94t H+c%`d-t Sc+c%`d-rf G(s^vld,My Store,27.99,Clathing & Accassarias,Nevalty & Spaceel Usa
e2f6aa4eb993509d01a62883b7634471,H(s^vgw+c%`d-rt's Kn@v_5#x94t Sc+c%`d-rf R#c@d,Competitor 3,19.99,Clathing & Accassarias,Nevalty & Spaceel Usa
e2f6aa4eb993509d01a62883b7634471,H(s^vgw+c%`d-rt's Kn@v_5#x94t Sc+c%`d-rf R#c@d,Competitor 4,19.99,Clathing & Accassarias,Nevalty & Spaceel Usa
e2f6aa4eb993509d01a62883b7634471,H(s^vgw+c%`d-rt's Kn@v_5#x94t Sc+c%`d-rf R#c@d,My Store,22.99,Clathing & Accassarias,Nevalty & Spaceel Usa
7d5175aaa2796f6ac8b217244323f2b5,Gryff@v_5#x94nd(s^vr Sc+c%`d-rf M+c%`d-r(s^v(s^vn & G(s^vld,Competitor 3,22.99,Clathing & Accassarias,Nevalty & Spaceel Usa
7d5175aaa2796f6ac8b217244323f2b5,Gryff@v_5#x94nd(s^vr Sc+c%`d-rf M+c%`d-r(s^v(s^vn & G(s^vld,Competitor 4,29.95,Clathing & Accassarias,Nevalty & Spaceel Usa
